Sexo;Tipo de discapacidad;Tipo de indicador;Personas con discapacidad;año;Total
Ambos sexos;Intelectual;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2013;11.742,5
Ambos sexos;Intelectual;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2012;11.590,2
Ambos sexos;Intelectual;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2011;11.452,9
Ambos sexos;Intelectual;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2010;-12.716,5
Ambos sexos;Intelectual;Ganancia (bruta) por hora y año;Personas con discapacidad;2022;10,2
Ambos sexos;Intelectual;Ganancia (bruta) por hora y año;Personas con discapacidad;2021;9,5
Ambos sexos;Intelectual;Ganancia (bruta) por hora y año;Personas con discapacidad;2020;9,4
Ambos sexos;Intelectual;Ganancia (bruta) por hora y año;Personas con discapacidad;2019;9,1
Ambos sexos;Intelectual;Ganancia (bruta) por hora y año;Personas con discapacidad;2018;8,4
Ambos sexos;Intelectual;Ganancia (bruta) por hora y año;Personas con discapacidad;2017;8,1
Ambos sexos;Intelectual;Ganancia (bruta) por hora y año;Personas con discapacidad;2016;7,7
Ambos sexos;Intelectual;Ganancia (bruta) por hora y año;Personas con discapacidad;2015;8,5
Ambos sexos;Intelectual;Ganancia (bruta) por hora y año;Personas con discapacidad;2014;-7,8
Ambos sexos;Intelectual;Ganancia (bruta) por hora y año;Personas con discapacidad;2013;7,5
Ambos sexos;Intelectual;Ganancia (bruta) por hora y año;Personas con discapacidad;2012;7,4
Ambos sexos;Intelectual;Ganancia (bruta) por hora y año;Personas con discapacidad;2011;7,5
Ambos sexos;Intelectual;Ganancia (bruta) por hora y año;Personas con discapacidad;2010;-8,2
Ambos sexos;Mental;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2022;17.930,8
Ambos sexos;Mental;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2021;17.348,4
Ambos sexos;Mental;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2020;16.979,7
Ambos sexos;Mental;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2019;17.521,1
Ambos sexos;Mental;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2018;16.409,6
Ambos sexos;Mental;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2017;16.215,3
Ambos sexos;Mental;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2016;15.889,4
Ambos sexos;Mental;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2015;15.699,3
Ambos sexos;Mental;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2014;15.243,6
Ambos sexos;Mental;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2013;16.550,2
Ambos sexos;Mental;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2012;16.741,1
Ambos sexos;Mental;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2011;17.639,5
Ambos sexos;Mental;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2010;-17.016,9
Ambos sexos;Mental;Ganancia (bruta) por hora y año;Personas con discapacidad;2022;12,3
Ambos sexos;Mental;Ganancia (bruta) por hora y año;Personas con discapacidad;2021;12,3
Ambos sexos;Mental;Ganancia (bruta) por hora y año;Personas con discapacidad;2020;12,0
Ambos sexos;Mental;Ganancia (bruta) por hora y año;Personas con discapacidad;2019;12,2
Ambos sexos;Mental;Ganancia (bruta) por hora y año;Personas con discapacidad;2018;11,1
Ambos sexos;Mental;Ganancia (bruta) por hora y año;Personas con discapacidad;2017;10,9
Ambos sexos;Mental;Ganancia (bruta) por hora y año;Personas con discapacidad;2016;11,2
Ambos sexos;Mental;Ganancia (bruta) por hora y año;Personas con discapacidad;2015;11,5
Ambos sexos;Mental;Ganancia (bruta) por hora y año;Personas con discapacidad;2014;10,2
Ambos sexos;Mental;Ganancia (bruta) por hora y año;Personas con discapacidad;2013;11,2
Ambos sexos;Mental;Ganancia (bruta) por hora y año;Personas con discapacidad;2012;11,3
Ambos sexos;Mental;Ganancia (bruta) por hora y año;Personas con discapacidad;2011;11,9
Ambos sexos;Mental;Ganancia (bruta) por hora y año;Personas con discapacidad;2010;-11,6
Ambos sexos;Sensorial;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2022;23.887,8
Ambos sexos;Sensorial;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2021;22.590,4
Ambos sexos;Sensorial;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2020;21.945,7
Ambos sexos;Sensorial;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2019;22.435,7
Ambos sexos;Sensorial;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2018;22.217,1
Ambos sexos;Sensorial;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2017;20.857,4
Ambos sexos;Sensorial;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2016;20.491,5
Ambos sexos;Sensorial;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2015;21.032,7
Ambos sexos;Sensorial;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2014;21.243,1
Ambos sexos;Sensorial;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2013;20.474,3
Ambos sexos;Sensorial;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2012;21.052,5
Ambos sexos;Sensorial;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2011;21.132,2
Ambos sexos;Sensorial;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2010;21.204,0
Ambos sexos;Sensorial;Ganancia (bruta) por hora y año;Personas con discapacidad;2022;15,6
Ambos sexos;Sensorial;Ganancia (bruta) por hora y año;Personas con discapacidad;2021;14,7
Ambos sexos;Sensorial;Ganancia (bruta) por hora y año;Personas con discapacidad;2020;14,4
Ambos sexos;Sensorial;Ganancia (bruta) por hora y año;Personas con discapacidad;2019;14,8
Ambos sexos;Sensorial;Ganancia (bruta) por hora y año;Personas con discapacidad;2018;14,2
Ambos sexos;Sensorial;Ganancia (bruta) por hora y año;Personas con discapacidad;2017;13,6
Ambos sexos;Sensorial;Ganancia (bruta) por hora y año;Personas con discapacidad;2016;13,4
Ambos sexos;Sensorial;Ganancia (bruta) por hora y año;Personas con discapacidad;2015;13,6
Ambos sexos;Sensorial;Ganancia (bruta) por hora y año;Personas con discapacidad;2014;13,5
Ambos sexos;Sensorial;Ganancia (bruta) por hora y año;Personas con discapacidad;2013;13,2
Ambos sexos;Sensorial;Ganancia (bruta) por hora y año;Personas con discapacidad;2012;13,6
Ambos sexos;Sensorial;Ganancia (bruta) por hora y año;Personas con discapacidad;2011;13,6
Ambos sexos;Sensorial;Ganancia (bruta) por hora y año;Personas con discapacidad;2010;13,3
Ambos sexos;No consta;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2022;-19.461,1
Ambos sexos;No consta;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2021;-19.597,8
Ambos sexos;No consta;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2020;-18.536,4
Ambos sexos;No consta;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2019;-19.581,3
Ambos sexos;No consta;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2018;-19.529,9
Ambos sexos;No consta;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2017;-17.779,5
Ambos sexos;No consta;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2016;-18.146,4
Ambos sexos;No consta;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2015;-17.513,4
Ambos sexos;No consta;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2014;-17.417,6
Ambos sexos;No consta;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2013;..
Ambos sexos;No consta;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2012;..
Ambos sexos;No consta;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2011;..
Ambos sexos;No consta;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2010;..
Ambos sexos;No consta;Ganancia (bruta) por hora y año;Personas con discapacidad;2022;-13,2
Ambos sexos;No consta;Ganancia (bruta) por hora y año;Personas con discapacidad;2021;-13,2
Ambos sexos;No consta;Ganancia (bruta) por hora y año;Personas con discapacidad;2020;-13,1
Ambos sexos;No consta;Ganancia (bruta) por hora y año;Personas con discapacidad;2019;-12,7
Ambos sexos;No consta;Ganancia (bruta) por hora y año;Personas con discapacidad;2018;-13,5
Ambos sexos;No consta;Ganancia (bruta) por hora y año;Personas con discapacidad;2017;-11,7
Ambos sexos;No consta;Ganancia (bruta) por hora y año;Personas con discapacidad;2016;-11,5
Ambos sexos;No consta;Ganancia (bruta) por hora y año;Personas con discapacidad;2015;-11,5
Ambos sexos;No consta;Ganancia (bruta) por hora y año;Personas con discapacidad;2014;-11,8
Ambos sexos;No consta;Ganancia (bruta) por hora y año;Personas con discapacidad;2013;..
Ambos sexos;No consta;Ganancia (bruta) por hora y año;Personas con discapacidad;2012;..
Ambos sexos;No consta;Ganancia (bruta) por hora y año;Personas con discapacidad;2011;..
Ambos sexos;No consta;Ganancia (bruta) por hora y año;Personas con discapacidad;2010;..
Hombres;Total;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2022;22.938,4
Hombres;Total;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2021;22.520,2
Hombres;Total;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2020;21.995,9
Hombres;Total;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2019;21.866,6
Hombres;Total;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2018;21.338,8
Hombres;Total;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2017;21.079,2
Hombres;Total;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2016;20.614,2
Hombres;Total;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2015;20.835,4
Hombres;Total;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2014;20.502,6
Hombres;Total;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2013;20.535,4
Hombres;Total;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2012;20.550,5
Hombres;Total;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2011;21.493,1
Hombres;Total;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2010;21.302,1
Hombres;Total;Ganancia (bruta) por hora y año;Personas con discapacidad;2022;14,7
Hombres;Total;Ganancia (bruta) por hora y año;Personas con discapacidad;2021;14,4
Hombres;Total;Ganancia (bruta) por hora y año;Personas con discapacidad;2020;14,1
Hombres;Total;Ganancia (bruta) por hora y año;Personas con discapacidad;2019;14,1
Hombres;Total;Ganancia (bruta) por hora y año;Personas con discapacidad;2018;13,6
Hombres;Total;Ganancia (bruta) por hora y año;Personas con discapacidad;2017;13,2
Hombres;Total;Ganancia (bruta) por hora y año;Personas con discapacidad;2016;13,1
Hombres;Total;Ganancia (bruta) por hora y año;Personas con discapacidad;2015;13,5
Hombres;Total;Ganancia (bruta) por hora y año;Personas con discapacidad;2014;12,8
Hombres;Total;Ganancia (bruta) por hora y año;Personas con discapacidad;2013;13,0
Hombres;Total;Ganancia (bruta) por hora y año;Personas con discapacidad;2012;13,1
Hombres;Total;Ganancia (bruta) por hora y año;Personas con discapacidad;2011;13,6
Hombres;Total;Ganancia (bruta) por hora y año;Personas con discapacidad;2010;13,3
Hombres;Física y otras;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2022;24.642,2
Hombres;Física y otras;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2021;24.263,7
Hombres;Física y otras;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2020;23.319,7
Hombres;Física y otras;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2019;22.763,7
Hombres;Física y otras;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2018;22.479,2
Hombres;Física y otras;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2017;22.237,6
Hombres;Física y otras;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2016;21.710,6
Hombres;Física y otras;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2015;22.026,3
Hombres;Física y otras;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2014;21.579,0
Hombres;Física y otras;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2013;21.440,0
Hombres;Física y otras;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2012;21.367,1
Hombres;Física y otras;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2011;22.723,3
Hombres;Física y otras;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2010;21.860,0
Hombres;Física y otras;Ganancia (bruta) por hora y año;Personas con discapacidad;2022;15,6
Hombres;Física y otras;Ganancia (bruta) por hora y año;Personas con discapacidad;2021;15,4
Hombres;Física y otras;Ganancia (bruta) por hora y año;Personas con discapacidad;2020;14,9
Hombres;Física y otras;Ganancia (bruta) por hora y año;Personas con discapacidad;2019;14,6
Hombres;Física y otras;Ganancia (bruta) por hora y año;Personas con discapacidad;2018;14,0
Hombres;Física y otras;Ganancia (bruta) por hora y año;Personas con discapacidad;2017;13,9
Hombres;Física y otras;Ganancia (bruta) por hora y año;Personas con discapacidad;2016;13,8
Hombres;Física y otras;Ganancia (bruta) por hora y año;Personas con discapacidad;2015;14,2
Hombres;Física y otras;Ganancia (bruta) por hora y año;Personas con discapacidad;2014;13,3
Hombres;Física y otras;Ganancia (bruta) por hora y año;Personas con discapacidad;2013;13,6
Hombres;Física y otras;Ganancia (bruta) por hora y año;Personas con discapacidad;2012;13,6
Hombres;Física y otras;Ganancia (bruta) por hora y año;Personas con discapacidad;2011;14,3
Hombres;Física y otras;Ganancia (bruta) por hora y año;Personas con discapacidad;2010;13,6
Hombres;Intelectual;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2022;-15.693,6
Hombres;Intelectual;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2021;-15.122,2
Hombres;Intelectual;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2020;-14.850,1
Hombres;Intelectual;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2019;-14.103,3
Hombres;Intelectual;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2018;-12.322,4
Hombres;Intelectual;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2017;-13.085,5
Hombres;Intelectual;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2016;-12.574,7
Hombres;Intelectual;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2015;-13.676,8
Hombres;Intelectual;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2014;-12.821,3
Hombres;Intelectual;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2013;-12.138,8
Hombres;Intelectual;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2012;-12.045,3
Hombres;Intelectual;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2011;-11.902,1
Hombres;Intelectual;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2010;-13.909,4
Hombres;Intelectual;Ganancia (bruta) por hora y año;Personas con discapacidad;2022;-10,7
Hombres;Intelectual;Ganancia (bruta) por hora y año;Personas con discapacidad;2021;-9,9
Hombres;Intelectual;Ganancia (bruta) por hora y año;Personas con discapacidad;2020;-9,7
Hombres;Intelectual;Ganancia (bruta) por hora y año;Personas con discapacidad;2019;-9,5
Hombres;Intelectual;Ganancia (bruta) por hora y año;Personas con discapacidad;2018;-8,7
Hombres;Intelectual;Ganancia (bruta) por hora y año;Personas con discapacidad;2017;-8,5
Hombres;Intelectual;Ganancia (bruta) por hora y año;Personas con discapacidad;2016;-8,1
Hombres;Intelectual;Ganancia (bruta) por hora y año;Personas con discapacidad;2015;-9,2
Hombres;Intelectual;Ganancia (bruta) por hora y año;Personas con discapacidad;2014;-8,3
Hombres;Intelectual;Ganancia (bruta) por hora y año;Personas con discapacidad;2013;-7,7
Hombres;Intelectual;Ganancia (bruta) por hora y año;Personas con discapacidad;2012;-7,7
Hombres;Intelectual;Ganancia (bruta) por hora y año;Personas con discapacidad;2011;-7,8
Hombres;Intelectual;Ganancia (bruta) por hora y año;Personas con discapacidad;2010;-8,7
Hombres;Mental;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2022;18.591,1
Hombres;Mental;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2021;-16.808,8
Hombres;Mental;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2020;-17.536,1
Hombres;Mental;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2019;-17.954,3
Hombres;Mental;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2018;-17.448,7
Hombres;Mental;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2017;-16.256,4
Hombres;Mental;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2016;-15.815,2
Hombres;Mental;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2015;-16.279,1
Hombres;Mental;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2014;-15.064,1
Hombres;Mental;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2013;-17.671,5
Hombres;Mental;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2012;-17.281,8
Hombres;Mental;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2011;-16.965,8
Hombres;Mental;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2010;-17.385,2
Hombres;Mental;Ganancia (bruta) por hora y año;Personas con discapacidad;2022;12,6
Hombres;Mental;Ganancia (bruta) por hora y año;Personas con discapacidad;2021;-11,8
Hombres;Mental;Ganancia (bruta) por hora y año;Personas con discapacidad;2020;-12,0
Hombres;Mental;Ganancia (bruta) por hora y año;Personas con discapacidad;2019;-12,1
Hombres;Mental;Ganancia (bruta) por hora y año;Personas con discapacidad;2018;-11,5
Hombres;Mental;Ganancia (bruta) por hora y año;Personas con discapacidad;2017;-10,9
Hombres;Mental;Ganancia (bruta) por hora y año;Personas con discapacidad;2016;-11,1
Hombres;Mental;Ganancia (bruta) por hora y año;Personas con discapacidad;2015;-11,5
Hombres;Mental;Ganancia (bruta) por hora y año;Personas con discapacidad;2014;-9,8
Hombres;Mental;Ganancia (bruta) por hora y año;Personas con discapacidad;2013;-11,5
Hombres;Mental;Ganancia (bruta) por hora y año;Personas con discapacidad;2012;-11,3
Hombres;Mental;Ganancia (bruta) por hora y año;Personas con discapacidad;2011;-11,5
Hombres;Mental;Ganancia (bruta) por hora y año;Personas con discapacidad;2010;-11,8
Hombres;Sensorial;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2022;26.061,1
Hombres;Sensorial;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2021;23.865,7
Hombres;Sensorial;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2020;23.990,1
Hombres;Sensorial;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2019;24.890,5
Hombres;Sensorial;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2018;24.760,4
Hombres;Sensorial;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2017;23.043,4
Hombres;Sensorial;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2016;22.286,4
Hombres;Sensorial;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2015;22.557,3
Hombres;Sensorial;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2014;23.927,9
Hombres;Sensorial;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2013;22.598,7
Hombres;Sensorial;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2012;23.149,2
Hombres;Sensorial;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2011;23.207,6
Hombres;Sensorial;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2010;23.685,3
Hombres;Sensorial;Ganancia (bruta) por hora y año;Personas con discapacidad;2022;16,0
Hombres;Sensorial;Ganancia (bruta) por hora y año;Personas con discapacidad;2021;14,8
Hombres;Sensorial;Ganancia (bruta) por hora y año;Personas con discapacidad;2020;14,8
Hombres;Sensorial;Ganancia (bruta) por hora y año;Personas con discapacidad;2019;15,5
Hombres;Sensorial;Ganancia (bruta) por hora y año;Personas con discapacidad;2018;15,0
Hombres;Sensorial;Ganancia (bruta) por hora y año;Personas con discapacidad;2017;14,1
Hombres;Sensorial;Ganancia (bruta) por hora y año;Personas con discapacidad;2016;13,9
Hombres;Sensorial;Ganancia (bruta) por hora y año;Personas con discapacidad;2015;14,1
Hombres;Sensorial;Ganancia (bruta) por hora y año;Personas con discapacidad;2014;14,5
Hombres;Sensorial;Ganancia (bruta) por hora y año;Personas con discapacidad;2013;14,0
Hombres;Sensorial;Ganancia (bruta) por hora y año;Personas con discapacidad;2012;14,6
Hombres;Sensorial;Ganancia (bruta) por hora y año;Personas con discapacidad;2011;14,3
Hombres;Sensorial;Ganancia (bruta) por hora y año;Personas con discapacidad;2010;14,5
Hombres;No consta;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2022;-21.271,8
Hombres;No consta;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2021;-21.701,1
Hombres;No consta;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2020;-21.188,3
Hombres;No consta;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2019;-21.520,3
Hombres;No consta;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2018;-19.663,6
Hombres;No consta;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2017;-18.127,8
Hombres;No consta;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2016;-19.617,2
Hombres;No consta;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2015;-17.785,5
Hombres;No consta;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2014;-18.933,3
Hombres;No consta;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2013;..
Hombres;No consta;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2012;..
Hombres;No consta;Ganancia (bruta) por trabajador y año;Personas con discapacidad;2011;..
